danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,audio_features,3EmmCZoqpWOTY1g2GBwJoR,spotify:track:3EmmCZoqpWOTY1g2GBwJoR,https://api.spotify.com/v1/tracks/3EmmCZoqpWOTY1g2GBwJoR,https://api.spotify.com/v1/audio-analysis/3EmmCZoqpWOTY1g2GBwJoR,198774,4
0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,audio_features,0QsvXIfqM0zZoerQfsI9lm,spotify:track:0QsvXIfqM0zZoerQfsI9lm,https://api.spotify.com/v1/tracks/0QsvXIfqM0zZoerQfsI9lm,https://api.spotify.com/v1/audio-analysis/0QsvXIfqM0zZoerQfsI9lm,208053,4
0.553,0.962,0,-3.158,1,0.154,0.572,0.0,0.965,0.807,166.076,audio_features,3QhJAGDdxt749dFveYVy4M,spotify:track:3QhJAGDdxt749dFveYVy4M,https://api.spotify.com/v1/tracks/3QhJAGDdxt749dFveYVy4M,https://api.spotify.com/v1/audio-analysis/3QhJAGDdxt749dFveYVy4M,153013,4
0.793,0.729,0,-4.77,0,0.0394,0.08,3.1e-05,0.317,0.488,121.972,audio_features,0tICYNayWWhH9GPeFrfjfD,spotify:track:0tICYNayWWhH9GPeFrfjfD,https://api.spotify.com/v1/tracks/0tICYNayWWhH9GPeFrfjfD,https://api.spotify.com/v1/audio-analysis/0tICYNayWWhH9GPeFrfjfD,195547,4
0.67,0.671,0,-5.214,1,0.0391,0.134,0.0,0.178,0.533,143.941,audio_features,3XSefjiSHsD34F7clH84xa,spotify:track:3XSefjiSHsD34F7clH84xa,https://api.spotify.com/v1/tracks/3XSefjiSHsD34F7clH84xa,https://api.spotify.com/v1/audio-analysis/3XSefjiSHsD34F7clH84xa,197917,4
0.609,0.956,5,-2.404,0,0.264,0.548,0.0,0.812,0.704,169.882,audio_features,3BhctwMUY5Y9xmes194QTq,spotify:track:3BhctwMUY5Y9xmes194QTq,https://api.spotify.com/v1/tracks/3BhctwMUY5Y9xmes194QTq,https://api.spotify.com/v1/audio-analysis/3BhctwMUY5Y9xmes194QTq,178387,4
0.896,0.847,11,-4.005,0,0.0414,0.18,0.019,0.0679,0.805,104.996,audio_features,1Cml3fnCNLZUC1EEtkcgVb,spotify:track:1Cml3fnCNLZUC1EEtkcgVb,https://api.spotify.com/v1/tracks/1Cml3fnCNLZUC1EEtkcgVb,https://api.spotify.com/v1/audio-analysis/1Cml3fnCNLZUC1EEtkcgVb,190280,4
0.604,0.897,4,-3.539,1,0.069,0.537,0.0,0.531,0.669,93.811,audio_features,3cS6YsU197mrdPTyR7nbp7,spotify:track:3cS6YsU197mrdPTyR7nbp7,https://api.spotify.com/v1/tracks/3cS6YsU197mrdPTyR7nbp7,https://api.spotify.com/v1/audio-analysis/3cS6YsU197mrdPTyR7nbp7,181147,4
0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,audio_features,4tCtwWceOPWzenK2HAIJSb,spotify:track:4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,214480,4
0.773,0.819,0,-5.946,0,0.118,0.426,0.0,0.0679,0.585,92.99,audio_features,5GXAXm5YOmYT0kL5jHvYBt,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,https://api.spotify.com/v1/tracks/5GXAXm5YOmYT0kL5jHvYBt,https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt,269187,4
0.825,0.83,6,-5.169,1,0.0593,0.601,0.00105,0.064,0.758,129.911,audio_features,1LTxGBL6yKtfmW3K8EvbSY,spotify:track:1LTxGBL6yKtfmW3K8EvbSY,https://api.spotify.com/v1/tracks/1LTxGBL6yKtfmW3K8EvbSY,https://api.spotify.com/v1/audio-analysis/1LTxGBL6yKtfmW3K8EvbSY,171240,4
0.772,0.588,0,-7.201,1,0.0314,0.0582,1.79e-06,0.335,0.668,90.034,audio_features,4owo0j5bw45IqiHxsTzcd6,spotify:track:4owo0j5bw45IqiHxsTzcd6,https://api.spotify.com/v1/tracks/4owo0j5bw45IqiHxsTzcd6,https://api.spotify.com/v1/audio-analysis/4owo0j5bw45IqiHxsTzcd6,257847,4
0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,audio_features,3NdDpSvN911VPGivFlV5d0,spotify:track:3NdDpSvN911VPGivFlV5d0,https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0,https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0,245200,4
